"61ccce01ad5af80017033895","60b14683043a040015f1a475","513f7412-d8ca-4676-941d-f0b421f1c77d","Steps for Creating a Map Workflow","Series of videos showing the basics of using the publisher to create a capture workflow",,false,false,0,0,5,2021-12-29T21:07:13Z,2021-12-29T21:09:14Z,2021-12-29T21:07:13Z,"/forum/processes/steps-for-creating-a-map-workflow","steps-for-creating-a-map-workflow","DISCUSSION"
"61cc5480a4b4c3001671dd48","60b14641b5e32100153df572","513f7412-d8ca-4676-941d-f0b421f1c77d","Ungroup Form Items to Main List","Form items can be grouped in sections.  This video demonstrates how to ungroup the items back to the main list of items.  Uses the json editor panels.  Recommend copying the json code into a notepad document for backup while you make changes - step included in the video      ",,false,false,0,0,4,2021-12-29T12:28:48Z,,2021-12-29T12:28:48Z,"/forum/forms/ungroup-form-items-to-main-list","ungroup-form-items-to-main-list","DISCUSSION"
"61b9f40cf9d9df001734980e","5fe790fc5216d3004a7c4959","513f7412-d8ca-4676-941d-f0b421f1c77d","Merge & Contour Full KY Tiles","Sometimes you want to work with the full tiles instead of clipping to your project boundary.  This video demonstrates how to download tiles included in the your project - merge the full tiles together - generate DXF contours of the entire merged tile boundary.    ",,false,false,0,0,11,2021-12-15T13:56:28Z,,2021-12-15T13:56:28Z,"/forum/z-tools-lidar-wizard/merge-contour-full-ky-tiles","merge-contour-full-ky-tiles","DISCUSSION"
"61ae05f34efc9800163fc6ee","5fe792a0bde6ea002d31d8d8","513f7412-d8ca-4676-941d-f0b421f1c77d","Z-Tools LIDAR Indexed Map ","Map shows the current coverage of indexed tiles available for Z-Tools Wizard Find Tool.  In addition to this map Z-Tools has the complete state of Kentucky indexed from State hosted resources.     ",,false,false,0,0,7,2021-12-06T12:45:39Z,,2021-12-06T12:45:39Z,"/forum/z-tools-articles/z-tools-lidar-indexed-map","z-tools-lidar-indexed-map","DISCUSSION"
"61ab805744def10017962922","5fe790fc5216d3004a7c4959","513f7412-d8ca-4676-941d-f0b421f1c77d","KY 2019-2020 Image Download (Web)","KY ONLY - make sure your site is in the coverage area - see KY Data Section if you are not sure            ",,false,false,0,0,6,2021-12-04T14:51:03Z,,2021-12-04T14:51:03Z,"/forum/z-tools-lidar-wizard/ky-2019-2020-image-download-web","ky-2019-2020-image-download-web","DISCUSSION"
"61ab6bd6322bad001606e4a3","61ab6a7f4e6af500298d91d8","513f7412-d8ca-4676-941d-f0b421f1c77d","KY 2020 6 inch Imagery Footprint","2020 Imagery Footprint    ",,false,false,0,0,5,2021-12-04T13:23:34Z,,2021-12-04T13:23:34Z,"/forum/kentucky-data/ky-2020-6-inch-imagery-footprint","ky-2020-6-inch-imagery-footprint","DISCUSSION"
"61ab69d0742ec3001606c37d","61ab6a7f4e6af500298d91d8","513f7412-d8ca-4676-941d-f0b421f1c77d","KY 2019 6 Inch Imagery Footprint","Imagery footprint for kyaped 2019 imagery    ",,false,false,0,0,5,2021-12-04T13:14:56Z,2021-12-04T13:20:17Z,2021-12-04T13:14:56Z,"/forum/kentucky-data/ky-2019-6-inch-imagery-footprint","ky-2019-6-inch-imagery-footprint","DISCUSSION"
"61a8c0f2f6e0a00017a77d2c","61ab6a7f4e6af500298d91d8","3651e1f3-62be-4fae-ae60-0b6b528ff24e","Available Kentucky Datasets","List of available datasets for Kentucky from the the LIDAR Wizard Find - Download.    ",,false,false,0,0,5,2021-12-02T12:49:54Z,,2021-12-02T12:49:54Z,"/forum/kentucky-data/available-kentucky-datasets","available-kentucky-datasets","DISCUSSION"
"616ed4d84596210016b4705d","60b14ca928568000152db6ef","ffb1c490-d1b7-498f-923c-b97a1204cdc6","Shifting POV - 2D to 3D ","This video demonstrates how to shift the perspective in the Cloud map view from 2D to 3D.      ",,false,false,1,0,4,2021-10-19T14:23:20Z,,2021-11-11T19:02:23Z,"/forum/__map-1/shifting-pov-2d-to-3d","shifting-pov-2d-to-3d","DISCUSSION"
"618bd99f56accb0017064ca8","618bd853edb2c50017410203","3651e1f3-62be-4fae-ae60-0b6b528ff24e","Basic Group and User Setup","Quick video setting up viewer and editor groups for a system managing water and gas features.    ",,false,false,0,0,9,2021-11-10T14:39:27Z,,2021-11-10T14:39:27Z,"/forum/groups-and-users/basic-group-and-user-setup","basic-group-and-user-setup","DISCUSSION"
"616ed5f84596210016b47097","60b14ccf36e76e0015bb5494","ffb1c490-d1b7-498f-923c-b97a1204cdc6","Searching in Cloud","This video demonstrates layer attribute searching with the search tool in order to pick a data collection location.      ",,false,false,0,0,4,2021-10-19T14:28:08Z,,2021-10-19T14:28:08Z,"/forum/search-tool/searching-in-cloud","searching-in-cloud","DISCUSSION"
"616e355cac829900162ebfe3","60b14c5263e25f0015557bb0","ffb1c490-d1b7-498f-923c-b97a1204cdc6","Save edits to existing features","This video demonstrates how to update information on existing features in GeoSync Cloud      ",,false,false,0,0,7,2021-10-19T03:02:52Z,,2021-10-19T03:02:52Z,"/forum/data-collection/save-edits-to-existing-features","save-edits-to-existing-features","DISCUSSION"
